Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 2=Integrert_Avvik 
-39.9,-39.9,-177.6796982288359
-39.9,-39.9,-173.70440626144392
-37.099999999999994,-37.099999999999994,-169.73783206939717
-37.099999999999994,-37.099999999999994,-166.0441110134123
-40.599999999999994,-40.599999999999994,-161.99367022514326
-39.9,-39.9,-158.02077007293724
-47.599999999999994,-47.599999999999994,-153.25996398925756
-44.099999999999994,-44.099999999999994,-148.7215590476985
-44.099999999999994,-44.099999999999994,-143.38962793350194
-41.3,-41.3,-138.9138302803037
-42.699999999999996,-42.699999999999996,-134.52658438682573
-42.699999999999996,-42.699999999999996,-130.20735859870905
-39.9,-39.9,-126.39309287071242
-47.599999999999994,-47.599999999999994,-121.50579714775051
-47.599999999999994,-47.599999999999994,-115.72388148307766
-50.4,-50.4,-110.68021273612968
-49.0,-49.0,-105.77215647697466
-47.599999999999994,-47.599999999999994,-100.83189463615435
-41.3,-41.3,-96.14387273788448
-40.599999999999994,-40.599999999999994,-91.58460664749141
-39.9,-39.9,-87.52842783927913
-40.599999999999994,-40.599999999999994,-83.4150683879854
-40.599999999999994,-40.599999999999994,-79.36289906501767
-39.9,-39.9,-75.36515665054338
-39.9,-39.9,-71.15057444572405
-40.599999999999994,-40.599999999999994,-67.01771712303159
-35.699999999999996,-35.699999999999996,-63.40620851516721
-40.599999999999994,-40.599999999999994,-59.075468540191416
-39.9,-39.9,-54.93087410926775
-42.699999999999996,-42.699999999999996,-49.49535942077636
-47.599999999999994,-47.599999999999994,-44.0524301528933
-44.099999999999994,-44.099999999999994,-39.71657490730264
-47.599999999999994,-47.599999999999994,-34.76815819740298
-47.599999999999994,-47.599999999999994,-29.804291009902983
-49.0,-49.0,-24.746515035629052
-44.099999999999994,-44.099999999999994,-19.70518302917481
-44.099999999999994,-44.099999999999994,-15.133522987365726
-47.599999999999994,-47.599999999999994,-9.968864440917972
-47.599999999999994,-47.599999999999994,-4.9808568954470225
-47.599999999999994,-47.599999999999994,-0.016179084777835584
-47.599999999999994,-47.599999999999994,5.572873115539306
-47.599999999999994,-47.599999999999994,10.671109199524164
-49.0,-49.0,15.792237758636464
-47.599999999999994,-47.599999999999994,20.971876621246086
-49.0,-49.0,26.038681507110592
-44.099999999999994,-44.099999999999994,30.826995372772213
-47.599999999999994,-47.599999999999994,36.39171266555762
-41.3,-41.3,40.89117050170937
-41.3,-41.3,45.23934102058428
-37.099999999999994,-37.099999999999994,49.14152121543883
-35.699999999999996,-35.699999999999996,53.263442754745654
-34.3,-34.3,57.44966006279009
-34.3,-34.3,62.718390464782715
-30.799999999999997,-30.799999999999997,66.69097518920883
-28.0,-28.0,69.70773315429686
-28.7,-28.7,72.9176616668704
-25.2,-25.2,75.86260700225833
-19.599999999999998,-19.599999999999998,78.01113414764387
-16.099999999999998,-16.099999999999998,79.67920422554016
-16.099999999999998,-16.099999999999998,81.43921279907227
-22.4,-22.4,84.12625503540028
-22.4,-22.4,86.73220443725597
-18.2,-18.2,88.77851152420037
-11.899999999999999,-11.899999999999999,90.05536460876463
-9.1,-9.1,91.08695173263544
-9.799999999999999,-9.799999999999999,92.11932516098017
-9.799999999999999,-9.799999999999999,93.2719316482544
-9.799999999999999,-9.799999999999999,94.37156295776373
-9.799999999999999,-9.799999999999999,95.41166353225714
-9.799999999999999,-9.799999999999999,96.46193122863765
-9.799999999999999,-9.799999999999999,97.66587400436397
-9.799999999999999,-9.799999999999999,98.86766386032104
-9.799999999999999,-9.799999999999999,99.93033170700079
-9.799999999999999,-9.799999999999999,100.98383378982544
-9.799999999999999,-9.799999999999999,102.13794898986811
-9.799999999999999,-9.799999999999999,103.21956253051758
-9.799999999999999,-9.799999999999999,104.34817314147955
-9.799999999999999,-9.799999999999999,105.464029788971
-9.799999999999999,-9.799999999999999,106.54887437820446
-9.799999999999999,-9.799999999999999,107.6460123062134
-9.799999999999999,-9.799999999999999,108.82387304306032
-9.1,-9.1,109.92115283012402
-9.1,-9.1,110.89518952369697
-9.1,-9.1,111.88355493545535
-9.1,-9.1,112.89629435539253
-9.1,-9.1,113.85447120666511
-9.1,-9.1,114.96021246910102
-9.1,-9.1,115.96157693862918
-9.1,-9.1,116.99319195747374
-9.1,-9.1,117.97587299346937
-9.1,-9.1,119.05418419837964
-9.1,-9.1,120.18597936630252
-9.1,-9.1,121.25967550277717
-9.1,-9.1,122.30327606201179
-9.1,-9.1,123.33793163299563
