Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=joyForward, 3=joySide
4.763154983520508,33,41.796875,-13.28125
4.834811925888062,33,42.96875,-13.0859375
4.908942937850952,33,42.96875,-13.0859375
5.012346982955933,34,42.96875,-13.0859375
5.107158899307251,33,42.96875,-11.328125
5.193758010864258,33,42.96875,-7.421875
5.277594089508057,33,42.578125,-4.6875
5.367731094360352,32,41.015625,-4.6875
5.467945098876953,32,41.2109375,-4.6875
5.554045915603638,32,42.96875,-4.6875
5.629560947418213,32,42.96875,-4.6875
5.715044975280762,31,42.96875,-4.6875
5.794413089752197,30,40.625,-4.6875
5.893908977508545,29,42.96875,-1.3671875
5.985399961471558,28,42.96875,-1.3671875
6.06495189666748,28,39.453125,0.0
6.146903038024902,28,39.453125,0.0
6.232733964920044,28,39.453125,1.5625
6.304038047790527,28,38.8671875,1.5625
6.403436899185181,27,37.109375,7.8125
6.491008043289185,27,37.109375,9.9609375
6.575680017471313,27,34.375,13.28125
6.65788197517395,27,34.375,13.28125
6.738919019699097,27,34.765625,13.28125
6.822367906570435,27,34.765625,13.28125
6.913373947143555,27,34.765625,13.28125
6.985038042068481,27,34.765625,13.28125
7.088012933731079,26,34.765625,13.28125
7.193907022476196,26,34.765625,15.625
7.279891014099121,27,34.765625,15.625
7.375109910964966,26,34.765625,15.234375
7.473226070404053,25,34.9609375,15.0390625
7.563827037811279,25,34.9609375,17.1875
7.652981042861938,26,33.203125,17.1875
7.743815898895264,26,33.203125,17.1875
7.837708950042725,27,33.203125,17.1875
7.924769878387451,27,33.203125,17.1875
8.012964010238647,27,30.46875,19.53125
8.103355884552002,27,30.46875,21.875
8.193936109542847,27,28.90625,23.4375
8.28331995010376,27,28.90625,23.4375
8.378448963165283,28,28.90625,25.390625
8.462929010391235,28,28.90625,25.1953125
8.55778694152832,29,28.90625,25.1953125
8.645534992218018,29,28.90625,25.1953125
8.733043909072876,30,28.90625,25.1953125
8.819091081619263,29,28.90625,25.1953125
8.907321929931641,29,28.90625,23.046875
8.995182037353516,29,28.90625,21.875
9.09296989440918,30,28.90625,19.53125
9.195730924606323,30,28.90625,21.875
9.287306070327759,30,28.90625,23.4375
9.384097099304199,30,28.90625,23.4375
9.475457906723022,30,28.90625,23.4375
9.553591012954712,30,28.90625,23.4375
9.639550924301147,30,28.90625,23.4375
9.725054025650024,30,28.90625,23.4375
9.813966035842896,30,25.0,25.78125
9.932945966720581,31,25.0,25.9765625
10.02964305877686,30,25.0,25.9765625
10.13114595413208,30,25.0,25.9765625
10.23489189147949,29,25.0,25.9765625
10.3181369304657,28,25.0,25.9765625
10.4483540058136,27,25.0,25.9765625
10.53513789176941,26,25.0,25.9765625
10.6381049156189,25,25.0,24.0234375
10.73872494697571,24,25.0,19.53125
10.82930207252502,23,25.0,19.53125
10.93597793579102,22,25.0,19.53125
11.0335578918457,21,28.90625,19.140625
11.13096499443054,20,30.859375,19.140625
