Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=joyForward, 3=joySide
9.371994018554688,28,61.71875,17.1875
9.472027063369751,31,66.9921875,19.53125
9.563218116760254,33,66.9921875,21.484375
9.668352127075195,35,62.890625,13.28125
9.765212059020996,35,57.421875,-0.390625
9.8558349609375,34,46.09375,-7.03125
9.958233118057251,32,32.421875,-26.5625
10.06127715110779,29,24.609375,-36.71875
10.15360403060913,28,27.1484375,-28.90625
10.2523250579834,28,22.265625,-32.8125
10.34288811683655,28,22.265625,-40.625
10.43741202354431,28,22.265625,-40.625
10.54400610923767,28,22.265625,-40.625
10.64721012115479,29,20.3125,-41.015625
10.73948907852173,29,27.34375,-26.5625
10.84125304222107,29,27.34375,-27.734375
10.95124816894531,29,32.03125,-32.421875
11.08136105537415,30,32.03125,-34.375
11.1917200088501,32,34.375,-22.65625
11.29501008987427,33,37.890625,-23.2421875
11.4016330242157,34,50.0,-0.78125
11.50782108306885,35,57.03125,7.2265625
11.59777116775513,35,58.59375,11.71875
11.71104311943054,34,58.59375,15.234375
11.80984115600586,33,51.5625,17.1875
11.91506814956665,32,51.5625,11.71875
12.01026201248169,31,50.0,17.1875
12.13287711143494,32,48.2421875,24.8046875
12.23379397392273,31,47.8515625,24.0234375
12.34483408927918,31,46.09375,21.875
12.45536303520203,32,46.09375,17.1875
12.55984115600586,32,46.09375,21.875
12.67309617996216,31,46.09375,21.875
12.78650403022766,30,46.09375,19.7265625
12.88253116607666,30,46.09375,15.625
12.99164795875549,29,44.53125,0.390625
13.10314416885376,28,34.375,5.46875
13.21387004852295,28,34.375,3.3203125
13.27694797515869,29,34.375,3.3203125
