Tallformatet viser til kolonnenummer:
0=Ts, 1=PowerA, 
2=PowerB, 3=PowerC, 4=PowerD 
35,38.81333333333334,40.70239789686854
38,38.78666666666667,40.69969549897166
38,38.84,40.69699580347269
43,38.89333333333334,40.69929880766922
38,38.93333333333334,40.69659950886154
35,38.88,40.69090290935268
39,38.88,40.68921200644333
36,38.86666666666667,40.68452279443689
36,38.80000000000001,40.67983827164245
46,38.84,40.68515843337081
38,38.78666666666667,40.68247327493744
40,38.82666666666667,40.6817908016625
39,38.78666666666667,40.68010901086084
40,38.78666666666667,40.67942890184997
42,38.84,40.68074947294813
41,38.84,40.68106872347517
37,38.80000000000001,40.6773876547517
39,38.81333333333334,40.67571026709695
39,38.81333333333334,40.67403455682985
38,38.81333333333334,40.67136052227302
38,38.85333333333334,40.66868916175074
35,38.82666666666667,40.66302047258899
37,38.77333333333334,40.6593574521164
39,38.78666666666667,40.65769809466429
40,38.86666666666667,40.65704039656963
38,38.85333333333334,40.65438335617306
36,38.80000000000001,40.64972897281689
39,38.82666666666667,40.64807924384407
40,38.85333333333334,40.64743116460023
39,38.84,40.64578373343563
40,38.84,40.64513794970219
38,38.85333333333334,40.64249281175249
38,38.80000000000001,40.63985031894073
35,38.72000000000001,40.63421046862178
39,38.70666666666667,40.63257625815316
39,38.68,40.63094368189501
36,38.65333333333334,40.62631273821311
37,38.69333333333334,40.62268642547489
41,38.72000000000001,40.62306373904942
40,38.72000000000001,40.62244067531037
35,38.58666666666667,40.61681823463505
41,38.62666666666668,40.61720141640042
39,38.61333333333334,40.61558421498402
37,38.54666666666667,40.61196863076904
38,38.53333333333334,40.60935666213826
35,38.52,40.60374730547612
40,38.54666666666667,40.60314355817065
37,38.49333333333334,40.59954041461247
41,38.50666666666667,40.59994087419786
37,38.50666666666667,40.59634093332366
40,38.54666666666667,40.59574459239033
39,38.56,40.59414884779795
35,38.52,40.58855469895015
38,38.52,40.58596614425119
38,38.53333333333334,40.58338017810694
37,38.53333333333334,40.57979679792884
40,38.52,40.57921700113091
42,38.54666666666667,40.58063778412978
37,38.53333333333334,40.57705714634564
39,38.58666666666667,40.5754800891993
40,38.57333333333334,40.5749046091101
41,38.68,40.57532970450099
38,38.68,40.57275437479649
41,38.73333333333333,40.57318162042168
39,38.69333333333334,40.57160843880125
40,38.65333333333334,40.57103683036245
35,38.65333333333334,40.56546579353209
38,38.64,40.56290032773854
37,38.56,40.55933742741082
38,38.54666666666667,40.5567780899834
36,38.53333333333334,40.55222131189342
40,38.52,40.55166909058152
39,38.54666666666667,40.55011742149094
37,38.50666666666667,40.54656730406945
33,38.37333333333333,40.53902073676539
36,38.38666666666667,40.53448171602862
38,38.38666666666667,40.53194723431258
39,38.40000000000001,40.53041528707827
38,38.33333333333334,40.52788487179119
40,38.36,40.52735698691939
40,38.42666666666667,40.52682962993248
37,38.40000000000001,40.52330280030254
40,38.45333333333333,40.52277949750223
37,38.46666666666667,40.51925671800474
40,38.38666666666667,40.51873746128673
42,38.44000000000001,40.52021872382545
40,38.44000000000001,40.51969850510162
42,38.48000000000001,40.52117880659652
38,38.45333333333333,40.51865762778991
38,38.40000000000001,40.51613897016212
40,38.38666666666667,40.51562283119195
37,38.38666666666667,40.51210720836076
38,38.37333333333333,40.5095951011524
39,38.37333333333333,40.50808550605125
37,38.36,40.5045774205452
38,38.36,40.50207284312465
37,38.38666666666667,40.49857077028153
39,38.41333333333333,40.49707219951125
40,38.42666666666667,40.49657512731173
38,38.40000000000001,40.49407855218441
35,38.36,40.48858447363222
42,38.44000000000001,40.49009588915859
38,38.42666666666667,40.48760579326943
35,38.36,40.48211818747616
40,38.37333333333333,40.48163606928868
42,38.40000000000001,40.48315443321939
39,38.41333333333333,40.48167127878617
37,38.40000000000001,40.47818960750739
36,38.41333333333333,40.47371141789989
44,38.48000000000001,40.47723770648198
41,38.50666666666667,40.4777604687755
38,38.53333333333334,40.47528270830671
38,38.54666666666667,40.47280742559841
37,38.49333333333334,40.46933461817281
34,38.41333333333333,40.46286528355463
39,38.46666666666667,40.46140241827108
39,38.44000000000001,40.45994101585281
34,38.37333333333333,40.45348107483695
37,38.37333333333333,40.45002759376212
40,38.40000000000001,40.44957756616835
40,38.46666666666667,40.44912798860218
38,38.44000000000001,40.44667886061357
41,38.49333333333334,40.44723218175296
38,38.45333333333333,40.4447849495712
38,38.46666666666667,40.44234016462163
42,38.49333333333334,40.44389782445701
38,38.48000000000001,40.44145392663254
41,38.56,40.44201247270591
37,38.54666666666667,40.4385704602332
37,38.53333333333334,40.43513188977297
40,38.57333333333334,40.4346967578832
33,38.48000000000001,40.42726206112532
